序号,计划时间,航班号,航空公司,航站楼,值机区域,目的地,计划到达时间
689,21:50,KN2356 MU8021,中国联合航空公司,浦东(T1-S1),A,石家庄,00:19:00
690,21:50,CA4224 LH7136 SC5288 ZH4376,中国国际航空公司,浦东(T2),K,贵阳,00:08:00
691,21:50,CZ3582 HO7438 MF1382,中国南方航空公司,虹桥(T2),D,广州 白云,00:15:00
692,21:50,MF8552 3U2646 CZ4447 G59168 HO7287 MU4857 NS8552,厦门航空有限公司,虹桥(T1),1,天津,23:55:00
693,21:55,MU5245 DL6395 MF3630,中国东方航空公司,浦东(T1-S1),B,厦门,00:43:00
694,21:55,MU5319 MF3676,中国东方航空公司,虹桥(T2),C,广州 白云,00:10:00
695,21:55,CZ8212 3U1922 HO7639 MF4484,中国南方航空公司,浦东(T2-S2),B,广州 白云,05:06:00
696,21:55,HO1853 3U4503 CZ236 MF7660 MU3660 ZH5061,吉祥航空公司,虹桥(T2),E,广州 白云,00:15:00
697,21:55,FM9401 DL6560 MU8483,上海航空公司,浦东(T1),D,长沙市,00:00:00
698,21:55,MF8506 3U2604 CZ4407 G59162 HO7245 MU4829 NS8506,厦门航空有限公司,虹桥(T1),1,长沙市,01:25:00
699,22:00,FM9323 DL6544 MU8425,上海航空公司,浦东(T1-S1),D,郑州,00:05:00
700,22:00,CA8565 LH7130 SC5451 ZH4843,中国国际航空公司,浦东(T2-S2),K,广州 白云,00:09:00
701,22:00,MF8586 3U2670 CZ4477 G59654 HO7307 MU4871 NS8586,厦门航空有限公司,虹桥(T1),1,福州,23:50:00
702,22:00,CZ8264 3U1936 HO7646 MF4512,中国南方航空公司,虹桥(T2),D,贵阳,00:50:00
703,22:00,CZ6508 HO7585 MF4138,中国南方航空公司,浦东(T2-S2),B,沈阳 桃仙,00:17:00
704,22:00,MU6391 AF4411 DL6422 MF7488,中国东方航空公司,浦东(T1),B,三亚,00:52:00
705,22:05,CZ6526 HO7597 MF4156,中国南方航空公司,浦东(T2),B,大连,00:55:00
706,22:05,HO1085 3U4371 CZ048 MF7678 MU3678 ZH5079,吉祥航空公司,虹桥(T2),E,长沙市,00:20:00
707,22:10,3U8976,四川航空公司,浦东(T2-S2),L,重庆,00:57:00
708,22:10,CA2824 SC5429 ZH4192,中国国际航空公司,虹桥(T2),A,天津,22:00:00
709,22:10,MU2882 AF5269 DL6394 KL8702 MF3460 QF4071,中国东方航空公司,浦东(T1),B,南京,23:20:00
710,22:10,3U3270,四川航空公司,浦东(T2-S2),L,西安 咸阳,00:45:00
711,22:15,MU5661 AF4417 DL6417 EY5730 HO5515 KL8739 MF3903,中国东方航空公司,浦东(T1-S1),A,上海 浦东,21:05:00
712,22:20,MU5313 DL6401 MF3670,中国东方航空公司,浦东(T1),B,广州 白云,04:54:00
713,22:20,DZ6208,东海航空有限公司,浦东(T2-S2),A,深圳,04:44:00
714,22:20,SC2166 CA4686,山东航空公司,浦东(T2-S2),K,厦门,23:59:00
715,22:20,FM9119 DL6533 MU8571,上海航空公司,浦东(T1),D,天津,00:38:00
716,22:20,MU2504 AF5231 DL6482 MF3255 QF4069 VN3529,中国东方航空公司,浦东(T1-S1),B,武汉 天河,02:11:00
717,22:25,FM9529 DL6562 KN3014 MU8547,上海航空公司,浦东(T1),D,温州,23:45:00
718,22:25,SC4656 CA4760 G56574 TV3162 ZH2662,山东航空公司,虹桥(T2),A,青岛,00:10:00
719,22:25,AQ1006,九元航空有限公司,浦东(T2),L,广州 白云,05:30:00
720,22:25,MU6581 AF4414 DL6425 HO5673 KL8750 MF7566,中国东方航空公司,浦东(T1-S1),B,合肥,23:50:00
721,22:30,3U8204,四川航空公司,浦东(T2-S2),L,昆明,01:50:00
722,22:50,MU6233 HO5431 MF7406,中国东方航空公司,虹桥(T2),B,福州,00:30:00
723,22:50,MU5541 AF5210 DL6464 EY5724 KL8803 MF3829 QF4027,中国东方航空公司,浦东(T1-S1),B,济南,00:18:00
724,22:50,MU2514 MF3263,中国东方航空公司,虹桥(T2),B,武汉 天河,00:45:00
725,23:00,9C8981,中国春秋航空公司,浦东(T2-S2),M,大连,00:24:00
726,23:05,MU5521 AF4408 DL6462 KL8747 MF3817 QF4055,中国东方航空公司,浦东(T1),B,青岛,00:17:00
727,23:05,MU2240 HO5489 MF3093,中国东方航空公司,虹桥(T2),B,西安 咸阳,01:25:00
728,23:10,9C8929,中国春秋航空公司,虹桥(T1),1,广州 白云,02:35:00
729,23:15,9C6107,中国春秋航空公司,浦东(T2-S2),M,重庆,01:51:00
730,23:55,9C8955,中国春秋航空公司,虹桥(T1),1,深圳,00:15:00
