序号,航班号,航空公司,目的地/经停地,出发地,航司电话,计划出发时间,计划到达时间,到达航站楼
730,CA8316 SC5438 ZH4752,中国国际航空公司,上海 浦东,沈阳 桃仙,95583,22:05:00,23:45:00,浦东(T2)
731,CA8560 NZ3719 SC5486 ZH4270,中国国际航空公司,上海 浦东,成都 双流,95583,21:05:00,23:45:00,浦东(T2)
732,MU5690A,中国东方航空公司,上海 浦东,呼和浩特,95530,21:14:00,23:45:00,浦东(T1)
733,HO2200 MU3735,吉祥航空公司,上海 浦东,张家界 大庸,95520,21:32:00,23:45:00,浦东(T2)
734,Y87520,金鹏航空,上海 浦东,郑州,950719,22:27:00,23:50:00,浦东(T2-S2)
735,9C6452,中国春秋航空公司,上海 浦东,兰州,95524,22:04:00,23:50:00,浦东(T2)
736,9C6224A,中国春秋航空公司,上海 浦东,揭阳 潮汕,95524,21:46:00,23:50:00,浦东(T2-S2)
737,HO1194 3U4430 CA3266 CZ123 MF7693 MU3693 ZH5094,吉祥航空公司,上海 虹桥,西安 咸阳,95520,21:51:00,23:50:00,虹桥(T2)
738,HU7843,海南航空公司,上海 浦东,西安 咸阳,95339,21:34:00,23:55:00,浦东(T2-S2)
739,9C8866,中国春秋航空公司,上海 虹桥,乌鲁木齐,95524,19:23:00,23:55:00,虹桥(T1)
740,MU5360 HO5349 MF3709,中国东方航空公司,上海 虹桥,深圳,95530,22:11:00,23:55:00,虹桥(T2)
741,MU5446 3U5224 HO5506 MF3775,中国东方航空公司,上海 虹桥,贵阳,95530,21:32:00,23:55:00,虹桥(T2)
742,9C8830,中国春秋航空公司,上海 虹桥,常德,95524,22:05:00,23:55:00,虹桥(T1)
743,MU9200,中国东方航空公司,上海 虹桥,广州 白云,95530,21:39:00,23:55:00,虹桥(T2)
744,HO1852 3U4502 CZ235 MF7609 MU3609 ZH5010,吉祥航空公司,上海 虹桥,广州 白云,95520,21:46:00,23:55:00,虹桥(T2)
745,9C6688,中国春秋航空公司,上海 浦东,东营,95524,00:04:00,23:55:00,浦东(T2-S2)
